region,product,revenue,units,quarter,rep
West,Enterprise,19207.86,65,Q4,Rep_8
West,Enterprise,93176.3,54,Q3,Rep_9
North,Pro,1177.35,5,Q1,Rep_10
APAC,Enterprise,84226.53,94,Q3,Rep_11
APAC,Starter,16554.17,94,Q3,Rep_12
South,Starter,6287.51,57,Q3,Rep_13
APAC,Enterprise,59657.77,17,Q3,Rep_14
South,Enterprise,49569.96,47,Q4,Rep_15
North,Starter,104970.79,23,Q1,Rep_16
West,Starter,66414.68,79,Q4,Rep_17
West,Pro,81349.79,85,Q4,Rep_18
West,Starter,16566.69,14,Q3,Rep_19
APAC,Pro,9766.66,66,Q2,Rep_0
North,Pro,69437.82,75,Q2,Rep_1
APAC,Pro,82210.46,51,Q4,Rep_2
APAC,Pro,232850.24,38,Q4,Rep_3
North,Pro,26603.97,64,Q3,Rep_4
North,Enterprise,23262.2,98,Q4,Rep_5
North,Starter,74897.73,38,Q3,Rep_6
North,Pro,20836.68,50,Q2,Rep_7
West,Starter,133506.9,98,Q2,Rep_8
East,Starter,97741.96,82,Q1,Rep_9
East,Pro,28017.78,30,Q2,Rep_10
North,Enterprise,69489.24,79,Q4,Rep_11
East,Pro,70231.65,91,Q2,Rep_12
East,Enterprise,5441.88,51,Q3,Rep_13
North,Starter,116422.28,63,Q2,Rep_14
East,Enterprise,35185.37,98,Q1,Rep_15
APAC,Enterprise,87566.63,52,Q2,Rep_16
South,Enterprise,19286.77,38,Q3,Rep_17
South,Starter,112939.53,97,Q3,Rep_18
North,Starter,24649.42,88,Q4,Rep_19
West,Enterprise,544.84,79,Q2,Rep_0
North,Enterprise,117895.36,30,Q3,Rep_1
West,Pro,4786.28,51,Q1,Rep_2
South,Enterprise,19232.68,81,Q4,Rep_3
North,Pro,149848.62,5,Q1,Rep_4
APAC,Enterprise,150397.48,29,Q2,Rep_5
East,Pro,42599.86,4,Q2,Rep_6
West,Starter,49961.5,10,Q2,Rep_7
East,Enterprise,29750.73,56,Q4,Rep_8
East,Enterprise,17351.14,17,Q3,Rep_9
North,Enterprise,19924.32,74,Q4,Rep_10
East,Enterprise,55816.18,17,Q1,Rep_11
APAC,Pro,69791.89,84,Q4,Rep_12
East,Enterprise,78409.77,88,Q1,Rep_13
North,Starter,77941.55,69,Q4,Rep_14
APAC,Starter,4781.85,34,Q3,Rep_15
South,Enterprise,34102.48,6,Q1,Rep_16
East,Starter,2964.09,53,Q2,Rep_17
North,Enterprise,39873.07,66,Q2,Rep_18
South,Enterprise,29127.76,77,Q4,Rep_19
South,Starter,109330.93,43,Q2,Rep_0
West,Enterprise,21609.58,75,Q1,Rep_1
APAC,Starter,6225.3,23,Q2,Rep_2
East,Pro,7715.38,55,Q3,Rep_3
North,Enterprise,71671.53,80,Q3,Rep_4
West,Pro,48145.28,95,Q4,Rep_5
APAC,Starter,5330.44,75,Q1,Rep_6
West,Pro,4392.78,16,Q3,Rep_7
APAC,Pro,60360.42,8,Q3,Rep_8
APAC,Starter,3777.3,4,Q1,Rep_9
East,Pro,86259.29,4,Q2,Rep_10
APAC,Pro,61249.99,56,Q2,Rep_11
West,Starter,4242.44,25,Q4,Rep_12
APAC,Pro,4432.69,67,Q2,Rep_13
East,Starter,215772.93,96,Q1,Rep_14
East,Pro,23441.88,67,Q3,Rep_15
West,Starter,23152.76,27,Q2,Rep_16
South,Starter,83778.77,93,Q4,Rep_17
South,Pro,147108.23,32,Q2,Rep_18
APAC,Pro,213438.7,50,Q1,Rep_19
North,Pro,69994.96,61,Q4,Rep_0
APAC,Enterprise,23601.05,51,Q2,Rep_1
West,Enterprise,4359.7,19,Q4,Rep_2
West,Enterprise,75062.13,21,Q1,Rep_3
West,Starter,40868.02,5,Q3,Rep_4
West,Pro,27601.66,82,Q1,Rep_5
West,Starter,118411.88,92,Q1,Rep_6
East,Enterprise,5894.01,42,Q1,Rep_7
South,Pro,33925.26,61,Q1,Rep_8
West,Starter,570.93,22,Q3,Rep_9
North,Pro,31617.72,21,Q3,Rep_10
North,Starter,2897.52,70,Q4,Rep_11
North,Pro,6324.55,1,Q2,Rep_12
North,Enterprise,6251.31,5,Q3,Rep_13
East,Enterprise,52378.42,12,Q3,Rep_14
North,Pro,68529.89,90,Q2,Rep_15
West,Starter,43777.69,46,Q3,Rep_16
APAC,Enterprise,163736.01,34,Q1,Rep_17
North,Enterprise,23489.83,49,Q1,Rep_18
East,Enterprise,16823.46,78,Q2,Rep_19
East,Pro,101475.13,90,Q4,Rep_0
North,Pro,12654.1,45,Q4,Rep_1
APAC,Starter,165143.51,27,Q2,Rep_2
North,Starter,611.45,73,Q2,Rep_3
East,Starter,175126.35,26,Q1,Rep_4
South,Pro,2205.95,47,Q4,Rep_5
West,Pro,110886.06,86,Q3,Rep_6
East,Starter,37507.16,56,Q1,Rep_7
North,Starter,247841.43,94,Q2,Rep_8
West,Pro,3833.07,63,Q4,Rep_9
North,Starter,40355.48,48,Q3,Rep_10
North,Enterprise,174178.76,61,Q3,Rep_11
South,Pro,37022.2,81,Q1,Rep_12
West,Starter,49631.41,26,Q4,Rep_13
West,Pro,59495.06,36,Q4,Rep_14
South,Enterprise,30306.39,1,Q2,Rep_15
East,Pro,49383.71,8,Q4,Rep_16
North,Pro,43891.29,99,Q4,Rep_17
APAC,Pro,115711.64,52,Q1,Rep_18
North,Pro,2325.57,79,Q4,Rep_19
North,Enterprise,16492.14,47,Q3,Rep_0
East,Pro,150199.8,56,Q1,Rep_1
North,Pro,110483.79,86,Q1,Rep_2
South,Starter,30408.76,14,Q2,Rep_3
South,Pro,48396.65,90,Q4,Rep_4
West,Starter,16243.67,28,Q2,Rep_5
APAC,Enterprise,10420.21,87,Q3,Rep_6
North,Enterprise,31152.93,78,Q1,Rep_7
North,Enterprise,21797.68,88,Q1,Rep_8
East,Enterprise,43812.19,2,Q1,Rep_9
South,Starter,4046.11,26,Q3,Rep_10
APAC,Pro,183248.01,14,Q3,Rep_11
West,Enterprise,214193.28,59,Q2,Rep_12
South,Pro,59893.19,56,Q2,Rep_13
West,Starter,38403.92,7,Q2,Rep_14
East,Starter,18518.97,3,Q4,Rep_15
East,Starter,84045.36,23,Q1,Rep_16
North,Enterprise,57716.48,18,Q1,Rep_17
APAC,Pro,8873.68,38,Q2,Rep_18
West,Pro,120915.05,99,Q1,Rep_19
